id;detail;date;hour
1;circuit navigate;2019-09-30;2019-09-30T21:39:35
2;alarm local area network Benin;2019-10-01;2019-10-01T06:41:40
3;dedicated Persevering;2019-09-30;2019-09-30T16:01:35
4;Cambridgeshire Investor;2019-10-01;2019-09-30T20:26:39
5;Borders North Dakota;2019-10-01;2019-09-30T18:46:47
6;Re-contextualized;2019-10-01;2019-10-01T08:46:52
7;Shoes deposit;2019-10-01;2019-09-30T15:39:02
8;Villages uniform PCI;2019-09-30;2019-10-01T15:08:55
9;Tactics architectures Planner;2019-09-30;2019-09-30T15:59:30
10;Incredible functionalities fuchsia;2019-10-01;2019-10-01T07:54:48
